Club,Club Speed,Attack Angle,Club Path,Low Point,Swing Plane,Swing Direction,Dyn. Loft,Face Angle,Face To Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Spin Rate,Spin Axis,Max Height - Dist.,Max Height - Height,Max Height - Side,Last data Point - Length,Last data Point - Side,Last data Point - Height,Last data Point - Time,Carry Flat - Length,Carry Flat - Side,Carry Flat - Land. Angle,Carry Flat - Ball Speed,Carry Flat - Time,Total,Side Total,Curve
Driver,94.54411238,4.458,3.123,-5.748031496,49.195,6.982,18.473,-5.038,-8.16,139.5944435,1.4765,16.831,-4.024,2640.0,-28.9,425.4421725,93.09482075,-79.57597923,6.093456642,-0.455199056,1.851580138,0.0945206,223.9596601,-61.95918631,37.76254362,63.28738837,6.17161,237.6944265,-68.49208746,-140.1108902
Driver,94.51950608,-0.924,-0.939,1.141732283,47.401,-1.789,20.837,-1.353,-0.414,129.5966804,1.3711,17.417,-1.283,4400.0,1.271,394.712333,112.6004009,-5.371172872,5.878594508,-0.129860648,1.873093101,0.09902,195.7582149,-1.957441565,48.46509668,60.20520957,6.691284,206.502373,-1.978213624,7.277982254
Driver,107.9545455,-1.992,-3.013,2.283464567,50.774,-4.64,10.583,-3.075,-0.062,159.7373837,1.4797,9.095,-3.068,2360.0,-0.28,508.9517028,71.12324485,-27.55524447,6.233162493,-0.33379817,1.013703157,0.0817483,259.9405231,-14.40359223,30.43417448,64.9524486,6.05064,280.9013186,-15.60597582,-1.476045986
Driver,92.77469578,-2.9,-2.1,3.503937008,52.205,-4.505,4.041,0.328,2.523,133.1021832,1.4347,3.194,0.022,1190.0,-7.027,156.1882114,4.987438084,-0.885527294,6.119088938,-0.001772965,0.329189448,0.095065,94.42144542,-1.020496433,4.907421463,99.11045827,1.692417,168.6114132,-2.684001128,-3.170248414
Driver,77.91472799,-0.56,1.416,0.551181102,56.431,1.044,27.351,0.874,-0.542,91.9031854,1.1795,22.35,0.983,4560.0,-0.822,230.4753481,64.93118674,3.00199542,6.146406386,0.103767661,2.525630004,0.151572,124.1559585,1.42657411,41.94708213,52.32033852,4.875846,137.0253812,1.524091791,-2.11044954
Driver,80.3932534,-1.933,4.872,1.88976378,59.34,3.726,30.554,-1.871,-6.743,95.93481568,1.1933,24.766,-0.473,5630.0,-8.519,245.1501431,81.10925866,-12.16923086,5.877789857,-0.066624407,2.727408423,0.14169,128.4594627,-9.744777516,47.35641424,54.03097903,5.322287,136.7279286,-10.6966581,-26.06108395
Driver,92.55547602,1.723,0.73,-2.244094488,43.248,2.562,15.108,1.069,0.339,132.3930744,1.4304,13.474,1.026,2150.0,1.412,387.5875098,64.95353352,8.654661909,6.087041012,0.110135568,1.460179764,0.0978669,209.5350709,5.44254705,30.41059608,64.25797129,5.37665,230.5085675,6.15320919,5.072939951
Driver,107.8561203,4.715,1.927,-6.338582677,49.759,5.929,12.585,4.0,2.073,159.1443719,1.4755,11.306,3.656,2090.0,7.286,510.5693447,82.09915142,46.54498039,5.882159304,0.380149379,1.183741,0.077964,264.8366142,29.3509232,32.46048842,67.17414027,6.193367,296.969633,34.42342569,37.52299465
Driver,105.3261453,-0.3,6.5,0.393700787,53.812,6.333,5.834,0.683,-5.817,154.3908822,1.4658,5.18,1.271,1390.0,-21.677,328.1051155,20.63640997,-6.80136835,5.799966981,0.116185145,0.52553522,0.077921,181.4946407,-9.331916487,12.26906668,83.7049829,3.377613,243.5822613,-17.38887987,-40.05025605
Driver,69.46358268,-5.2,2.2,4.960629921,57.232,-1.712,17.208,5.025,2.842,94.77004295,1.3643,14.615,4.674,2460.0,4.522,212.3364376,34.1258639,19.53836123,5.906214073,0.486617141,1.515368799,0.133867,121.4031575,12.4104351,25.7507545,55.76818776,3.79872,151.2412427,16.06093171,7.584904992
Driver,106.3417144,-0.9,7.7,1.25984252,51.022,6.91,5.123,-7.772,-15.472,136.8852899,1.2872,4.539,-6.303,2190.0,-9.693,285.8940635,15.96175922,-37.3314712,5.778039352,-0.641151563,0.458926702,0.087524,157.3767522,-22.97786691,11.12303252,76.56386006,3.230116,215.1068754,-33.68657043,-17.23891031
Driver,80.29706514,-0.477,-2.329,0.708661417,51.891,-2.703,11.965,-5.197,-2.868,114.4347262,1.4251,9.181,-4.542,3246.83,7.979,264.1747692,31.06643222,-12.74881111,148.8253639,-3.694793115,-1.489973412,3.96154,145.1455065,-3.807910988,21.51244974,62.70205539,3.83154,179.6435274,-2.659117015,23.08242793
Driver,115.801718,2.9,2.1,-3.346456693,50.064,4.427,16.254,-2.611,-4.711,165.8869452,1.4325,14.772,-2.12,3500.0,-10.183,561.0398921,154.664004,-57.93087898,5.93966357,-0.22495665,1.59056877,0.076819,267.6970602,-38.61271442,50.64020311,66.93774406,8.0262,278.681653,-41.01476551,-86.36114587
Driver,61.45982462,0.14,2.425,-0.118110236,65.255,2.489,32.603,0.503,-1.922,74.53963851,1.2128,26.702,0.915,4370.0,-2.41,162.9504507,49.85525406,1.21241621,4.863790432,0.073995377,2.41213067,0.1527992,91.38194641,0.26166702,41.16448395,48.59311971,4.096580587,103.6801026,0.190040868,-3.592938989
Driver,97.47449893,-9.047,-6.709,10.31496063,55.446,-13.004,11.067,-0.452,6.257,135.948461,1.3947,8.578,-1.242,3520.0,17.1,394.8881995,53.68724435,22.39950992,6.307223075,-0.117285766,0.969244284,0.0972823,200.5666427,21.20406151,29.73493037,57.52600425,5.35034,216.9975862,25.08398204,76.56617178
Driver,101.8991589,-4.701,-1.434,6.102362205,48.951,-5.541,16.097,-2.549,-1.115,142.4080619,1.3975,13.527,-2.405,3640.0,-1.953,458.6539682,104.694017,-23.94643541,6.15380851,-0.260563488,1.513066618,0.0922574,226.7855403,-13.61294869,43.81210772,60.31606056,6.81785,241.3678135,-14.69691437,-12.30465549
Driver,99.70025054,-1.904,-1.957,2.519685039,45.141,-3.852,20.317,2.355,4.312,138.8419381,1.3926,17.578,1.783,3850.0,6.91,442.5388747,127.4904435,32.21774982,6.440069766,0.210638801,2.078700293,0.101202,217.7147346,21.65754549,49.10911176,62.97761914,7.13991,228.2750186,23.18203309,44.71992053
Driver,100.4451503,-0.425,-1.222,0.590551181,45.799,-1.635,15.576,-2.298,-1.076,139.8496779,1.3923,13.572,-2.157,2790.0,-2.443,445.0447103,87.02814716,-21.41304396,6.269825866,-0.238568305,1.531812019,0.0956317,228.6691354,-12.85572117,37.51661845,61.31394983,6.3073,250.1857232,-14.4286876,-12.76082204
Driver,86.77523264,4.157,8.3,-4.173228346,63.992,10.332,12.336,0.373,-7.927,102.1687097,1.1774,10.092,2.599,3175.38,52.339,115.536855,10.86190557,1.658763051,46.12220437,0.213803341,3.453178874,1.03388,72.7095049,-1.840943107,12.28627893,79.67704863,1.70552,126.3703288,-6.650783224,-15.40513549
Driver,84.8559413,-5.3,-0.3,5.433070866,58.504,-3.809,21.704,0.546,0.846,111.7998389,1.3175,18.001,0.423,6620.0,1.579,300.0712207,84.75482549,4.622564563,5.58775316,0.039304256,1.849340958,0.109909,152.4303497,3.178916475,46.51160831,54.56004385,5.717632,159.8340532,3.401411814,6.161192268
Driver,103.3800107,1.1,7.1,-1.377952756,44.215,8.106,5.251,-3.551,-10.651,144.9038117,1.4017,4.833,-2.488,1640.0,-29.606,255.5356564,13.49032204,-22.62302254,5.51335259,-0.254549846,0.460876663,0.078815,147.099099,-18.26299281,9.247493531,88.90171433,2.705841,216.5098882,-32.86769715,-35.72876818
Driver,89.59153543,-1.354,7.522,1.771653543,51.561,6.447,8.165,-0.848,-8.37,124.9572745,1.3947,6.644,0.509,2520.0,-11.661,281.3288921,22.51756369,-5.851690292,5.713794275,0.041338659,0.664083165,0.095259,154.7843058,-6.614796905,15.44349876,67.42131394,3.606052,201.7280825,-11.26372311,-23.96496878
Driver,95.15032212,0.528,2.482,-0.551181102,54.925,2.853,19.143,2.304,-0.179,140.4536507,1.4761,16.233,2.333,4059.0,-0.344,447.0308559,124.6993034,16.49342565,5.453558584,0.221657866,1.619768532,0.0838656,218.5854577,8.141862175,48.91436999,62.33277113,7.12456,228.9138315,8.502904701,-2.270193864
Driver,119.8975483,4.131,-1.189,-5.354330709,44.192,3.071,13.339,2.633,3.822,175.4648354,1.4635,11.956,2.044,2610.0,11.618,609.3657987,123.9431617,58.81472465,5.860084282,0.217409237,1.255674156,0.070639894,300.3913169,40.75111438,41.86678679,66.49171188,7.558480561,320.9690802,45.41260877,90.33055884
Driver,99.97763064,-5.432,-5.639,6.535433071,50.566,-10.125,16.934,-0.404,5.235,137.3982194,1.3743,14.139,-1.094,3920.0,8.451,430.9679767,101.6533652,13.36526028,6.325059719,-0.109340013,1.627578466,0.0986432,213.8984028,12.77457599,44.1445832,59.42787028,6.64461,227.5357919,14.42006782,50.54659397
Driver,100.6598962,3.81,3.021,-4.645669291,53.397,5.856,12.397,4.417,1.397,150.0691213,1.4909,11.086,4.199,1980.0,1.629,455.8458604,67.16713911,35.54208763,5.779659885,0.424327013,1.136550472,0.08116,241.8831475,19.97958325,29.02899092,67.66126424,5.615814,278.0490921,23.31000985,6.826799981
Driver,93.53749105,-7.569,1.214,14.56692913,35.056,-9.702,9.329,-0.78,-1.994,131.5882248,1.4068,6.167,-0.403,4158.6,8.577,377.7976549,50.60051894,18.59048076,183.4040668,15.96969122,-2.6576082,5.42686,179.6434021,15.15843265,34.81679562,50.17959312,5.23686,196.2974483,18.7071386,49.2512838
Driver,104.2949177,-0.989,-1.301,1.220472441,49.399,-2.15,12.58,-1.002,0.299,156.4164281,1.4997,10.917,-1.04,2583.43,0.889,498.2438676,90.507148,-11.89634184,235.3364979,-8.97992768,1.919898045,6.53481,237.4940278,-9.161015862,41.68652055,55.01984014,6.64207,253.8084495,-10.50450887,-14.55629025
Driver,104.1964925,2.9,2.3,-3.503937008,50.626,4.635,13.721,0.587,-1.713,152.3691392,1.4623,12.16,0.919,2390.0,-8.631,490.9178967,85.55053283,-10.04535578,5.820692208,0.08690304,1.262560745,0.080876,253.4800599,-11.30555117,34.73137613,64.66390153,6.322378,281.3490484,-14.19978254,-46.09676843
Driver,112.2628848,1.7,0.1,-2.165354331,49.75,1.6,12.722,2.348,2.248,166.9626879,1.4873,11.553,2.097,2890.0,5.263,568.7805236,117.9496095,37.43657959,5.783766859,0.216117996,1.19979555,0.073219,277.4424101,23.47513693,43.10517154,63.70046519,7.422616,295.8187625,25.79996549,40.03146009
Driver,103.3173765,0.5,7.3,-0.787401575,49.459,7.757,23.508,-6.459,-13.759,134.9718146,1.3064,20.006,-4.059,5510.0,-13.041,399.0169085,138.5887413,-63.20177119,5.790396112,-0.430200071,2.148289472,0.095303,193.0462087,-41.40276099,53.93413229,63.78866044,7.098178,198.3873189,-42.94580155,-83.85707434
Driver,96.68038654,-1.166,-1.029,1.535433071,47.552,-2.095,28.698,-1.249,-0.22,125.9630011,1.3029,23.777,-1.208,6150.0,5.924,358.4254257,142.2858168,8.373012878,5.780829141,-0.110864931,2.594902365,0.1050568,172.4101535,7.888949757,56.63774612,64.49384269,6.957663152,175.2412946,8.100306981,34.55442878
Driver,25.59726199,-6.4,-2.2,4.409448819,69.682,-5.205,43.468,-2.13,0.082,27.87468683,1.089,29.993,-2.054,3700.0,0.065,24.17424219,6.994910975,-0.87071418,5.802477256,-0.218392523,2.181406025,0.509082,15.10027984,-0.567702613,32.75567971,25.34512801,1.379853,21.14926759,-0.794774725,-0.079516613
Driver,103.5209377,1.296,0.439,-1.496062992,52.46,1.435,11.776,-1.77,-2.209,154.4369631,1.4918,9.972,-1.382,2827.24,4.848,479.5019395,85.40098983,4.913298107,225.8647776,6.75998128,2.669657527,6.20105,228.8750647,7.02153645,40.68417832,58.16941442,6.34035,246.6620674,8.580104918,37.6107902
Driver,86.10191482,2.334,1.617,-3.976377953,44.149,4.023,17.751,-0.787,-2.404,129.0484073,1.4988,15.555,-0.428,2848.23,-2.837,394.0636092,82.72908001,-8.812041554,201.6496101,-6.589440749,-1.920160949,6.05604,199.3419992,-6.444003636,40.64560204,56.92936048,5.94604,216.5796831,-7.545373825,-14.8665881
Driver,81.43790265,1.421,-4.768,-1.88976378,52.475,-3.676,22.793,3.303,8.07,112.2942019,1.3789,20.014,2.154,3320.0,13.008,323.3545158,84.85188315,30.74822674,4.793335708,0.191615954,1.74883882,0.094264695,170.5754635,23.20833946,42.07103226,57.83749292,5.770603442,187.0423447,26.68101747,50.52116876
Driver,100.1677702,-0.015,4.628,0.0,47.558,4.614,15.986,5.102,0.474,148.1547513,1.4791,14.36,5.052,2393.81,1.653,485.2576268,98.34067878,45.33375487,6.224448321,0.549651598,1.610815125,0.0898579,250.4303636,25.0619841,38.16817864,64.5248482,6.59552,264.6950516,26.64469587,9.067434714
Driver,111.6074624,-2.5,-0.7,3.11023622,49.316,-3.006,9.927,-0.858,-0.158,165.6024069,1.4838,8.667,-0.743,2074.13,-7.498,518.7270397,69.00075375,-22.84512329,6.007998488,-0.095200889,0.926144999,0.075911,265.835017,-16.75257114,29.23355774,66.92572927,5.932629,300.1956131,-20.64284405,-39.93244996
Driver,104.4179492,3.236,3.26,-3.976377953,53.598,5.649,14.533,2.459,-0.801,155.409583,1.4883,12.878,2.58,2560.0,-2.566,518.6640622,101.4115752,16.58508816,6.397906717,0.285346401,1.486698586,0.087529,262.7189857,6.559457837,38.73695777,64.09808833,6.8277,284.5016794,6.703296678,-15.80883069
Driver,73.63099499,1.284,1.599,-1.614173228,49.974,2.677,6.905,-6.921,-8.52,104.6857105,1.4217,5.793,-5.213,2110.0,-26.655,134.6614918,7.635606612,-16.19410077,5.925632577,-0.560297589,0.5741014,0.11773,81.95029426,-12.01441504,8.258132175,76.04753109,1.905121,140.4200353,-24.06809919,-13.79787137
Driver,97.33804581,3.3,9.7,-3.818897638,54.843,12.053,18.878,0.226,-9.474,135.176718,1.3887,16.381,1.945,3940.0,-21.866,411.7644302,103.6539462,-37.16449125,5.699423276,0.168575586,1.693046785,0.091311,207.2549602,-34.69718797,44.28780749,59.86215647,6.53729,221.7876425,-39.4355181,-124.8365501
Driver,91.35200429,4.586,8.65,-5.62992126,57.037,11.631,19.025,5.298,-3.351,135.5610236,1.4839,17.332,5.714,2340.0,-9.021,430.1029115,97.66089297,25.88517722,5.849295158,0.574544967,1.828590708,0.093691702,226.3774368,8.356279717,39.15921351,64.1099794,6.3428156,249.7242154,7.938580709,-42.62601121
Driver,80.91893343,-3.508,7.331,3.346456693,61.363,5.412,28.654,0.791,-6.54,98.08115605,1.2121,23.21,2.06,5410.0,-8.488,253.6776185,79.25312252,-1.889483909,5.89676906,0.194850123,2.544823558,0.137185,133.0375313,-4.168799701,46.10103733,53.96002092,5.330253,142.4080196,-4.851753156,-26.83778743
Driver,94.56871868,-7.09,0.579,9.133858268,52.091,-4.979,12.794,-2.669,-3.248,128.4759753,1.3586,10.041,-2.207,3560.0,-5.985,374.9603862,57.83297736,-24.64993687,6.20229355,-0.246186627,1.114312686,0.101816305,191.6485425,-15.98827882,32.16053529,56.54894461,5.409027972,215.31749,-18.98277591,-25.8653457
Driver,101.4540086,-1.3,4.9,2.007874016,43.378,3.407,11.879,0.003,-4.897,143.5576235,1.415,10.276,0.654,2440.0,-8.461,429.657413,60.64208729,-8.706262425,5.536971057,0.05723294,1.009279299,0.081078,225.5488034,-9.441772321,28.72685107,63.79645128,5.502281,258.2177748,-12.6060255,-36.0400828
Driver,94.79688618,-4.0,-1.0,3.267716535,57.042,-4.203,14.21,0.781,1.859,140.1346636,1.4782,11.818,0.604,3346.4,5.851,439.9508879,85.24380376,17.69548102,5.883734345,0.060581102,1.249052373,0.089007,219.9351213,13.0565363,39.39939221,58.46366169,6.349144,238.8244636,15.01664718,32.2242997
Driver,98.841267,2.1,-6.5,-2.795275591,47.646,-4.729,13.433,-3.69,2.81,143.094354,1.4477,12.178,-4.009,2620.0,11.846,444.510152,76.85137798,-8.290696897,5.965414537,-0.408158678,1.296157245,0.088369,229.9924995,3.342579986,34.25957009,61.86379308,6.023784,255.9772154,5.882292369,58.23662221
Driver,99.24391553,-6.829,-1.657,9.803149606,43.423,-8.926,12.897,8.839,10.495,134.5197298,1.3554,8.785,6.591,6228.31,18.829,376.7290641,68.81911005,85.06605582,6.347988529,0.761043963,1.031815274,0.0993494,185.1763124,53.29430574,38.53267992,53.6326263,5.70776,196.906157,58.39256416,97.75988063
Driver,73.85692555,-5.485,3.729,5.31496063,60.245,0.583,29.418,2.412,-1.318,91.26990873,1.2357,23.445,2.672,5410.0,-1.594,226.3597303,68.23139034,8.471861894,5.998301212,0.276186411,2.606423006,0.150394,120.9562684,4.253866074,44.02036483,52.10076559,4.936489,131.1119758,4.536334121,-4.158137081
Driver,81.00617394,-3.5,1.9,3.149606299,60.522,-0.279,32.584,-1.303,-3.203,101.424481,1.2521,25.346,-0.631,7301.27,-3.524,259.4144826,95.1971385,-7.764156358,2.878011625,-0.031640594,1.372807973,0.065145,131.74986,-5.597713954,51.77780435,55.77614074,5.702603,135.4579179,-5.813989732,-12.44324752
Driver,72.64450608,-9.246,3.553,8.897637795,52.18,-3.706,22.571,23.286,19.733,80.4250179,1.1071,14.854,18.086,7280.67,30.573,144.374502,23.61498214,54.7901064,6.448787735,2.064088685,1.669215472,0.173881,83.18514801,36.41599644,25.2464224,48.63775707,3.02827,98.94189922,45.16413553,34.19524293
Driver,80.92564424,-4.391,0.907,4.527559055,56.381,-2.02,26.232,-0.639,-1.546,105.251879,1.3006,19.805,-0.279,6713.6,-2.167,275.9666393,80.07211008,-4.496915992,5.983802548,-0.033549972,2.186956919,0.126709,142.2345023,-3.313777301,45.83137523,53.83250026,5.477062,149.8529797,-3.580833242,-7.863966909
